Asset1,Asset2,Correlation,AbsCorr
GBPJPY,EUROSTOXX50,0.1111,0.1111
ZINC,AUDUSD,0.109,0.109
G_GILT,SILVER,0.1089,0.1089
AUDUSD,EUROSTOXX50,0.1088,0.1088
AUDUSD,CAC40,0.1087,0.1087
AUDUSD,PLATINUM,0.1085,0.1085
LEAD,RUSSELL2000,0.1085,0.1085
GBPJPY,CAC40,0.1072,0.1072
LEAD,USDNOK,-0.1065,0.1065
WTI_CRUDE,HANGSENG,0.1044,0.1044
TY_US10Y,NASDAQ100,-0.1042,0.1042
OAT_FRANCE,BRENT_CRUDE,-0.1033,0.1033
G_GILT,BRENT_CRUDE,-0.1028,0.1028
LEAD,NIKKEI225,0.1019,0.1019
LEAD,SP500,0.0986,0.0986
RX_BUND,SILVER,0.0978,0.0978
SILVER,ASX200,0.0973,0.0973
G_GILT,CAC40,-0.0965,0.0965
G_GILT,EUROSTOXX50,-0.0963,0.0963
PLATINUM,USDCAD,-0.0951,0.0951
OAT_FRANCE,WTI_CRUDE,-0.0951,0.0951
LEAD,AUDJPY,0.0949,0.0949
NZDUSD,PLATINUM,0.0946,0.0946
SILVER,VIX,-0.0945,0.0945
RX_BUND,BRENT_CRUDE,-0.0934,0.0934
AUDUSD,COPPER,0.0933,0.0933
G_GILT,DAX,-0.0925,0.0925
LEAD,DOWJONES,0.0922,0.0922
USDJPY,EUROSTOXX50,0.0921,0.0921
BRENT_CRUDE,NIKKEI225,0.0915,0.0915
LEAD,GBPUSD,0.0914,0.0914
USDNOK,EUROSTOXX50,-0.0914,0.0914
LEAD,NASDAQ100,0.0899,0.0899
USDJPY,DAX,0.0894,0.0894
USDCAD,FTSE100,-0.0894,0.0894
LEAD,ASX200,0.0893,0.0893
NZDUSD,DAX,0.089,0.089
USDNOK,FTSE100,-0.089,0.089
G_GILT,WTI_CRUDE,-0.0889,0.0889
USDJPY,CAC40,0.0887,0.0887
USDNOK,DAX,-0.0885,0.0885
TY_US10Y,HANGSENG,-0.0882,0.0882
NZDUSD,FTSE100,0.0871,0.0871
USDCAD,CAC40,-0.0871,0.0871
EURCHF,HANGSENG,0.0869,0.0869
EURJPY,ASX200,0.0868,0.0868
NZDUSD,CAC40,0.0865,0.0865
USDSEK,NIKKEI225,-0.0859,0.0859
RX_BUND,COPPER,-0.0852,0.0852
RX_BUND,WTI_CRUDE,-0.0849,0.0849
LEAD,USDSEK,-0.084,0.084
ZINC,GBPUSD,0.084,0.084
TY_US10Y,ASX200,-0.0837,0.0837
NZDUSD,EUROSTOXX50,0.0836,0.0836
LEAD,USDCAD,-0.0826,0.0826
NAT_GAS,SP500,0.0821,0.0821
EURCHF,ASX200,0.082,0.082
TY_US10Y,NIKKEI225,-0.0817,0.0817
RX_BUND,HANGSENG,-0.0813,0.0813
COPPER,NZDUSD,0.0811,0.0811
EURJPY,DAX,0.0807,0.0807
USDCAD,EUROSTOXX50,-0.08,0.08
TY_US10Y,PLATINUM,0.0798,0.0798
USDNOK,NIKKEI225,-0.0797,0.0797
EURJPY,EUROSTOXX50,0.0787,0.0787
AUDUSD,SILVER,0.0779,0.0779
ZINC,USDCAD,-0.0777,0.0777
ZINC,AUDJPY,0.0775,0.0775
WTI_CRUDE,NIKKEI225,0.0769,0.0769
USDCAD,DAX,-0.0769,0.0769
AUDJPY,PLATINUM,0.076,0.076
LEAD,USDCHF,-0.0759,0.0759
USDJPY,FTSE100,0.0756,0.0756
G_GILT,USDSEK,-0.0756,0.0756
NAT_GAS,DOWJONES,0.0746,0.0746
COPPER,USDSEK,-0.0744,0.0744
EURJPY,CAC40,0.0736,0.0736
SILVER,NIKKEI225,0.0735,0.0735
AUDJPY,COPPER,0.0732,0.0732
LEAD,EURUSD,0.0725,0.0725
RX_BUND,USDJPY,-0.0721,0.0721
COPPER,USDCAD,-0.0719,0.0719
G_GILT,USDJPY,-0.0716,0.0716
ZINC,USDSEK,-0.0709,0.0709
OAT_FRANCE,PLATINUM,0.0701,0.0701
COPPER,USDNOK,-0.07,0.07
ZINC,USDNOK,-0.0694,0.0694
BRENT_CRUDE,USDCAD,-0.0676,0.0676
OAT_FRANCE,HANGSENG,-0.0676,0.0676
OAT_FRANCE,COPPER,-0.0668,0.0668
SILVER,USDCAD,-0.0658,0.0658
LEAD,GBPJPY,0.0657,0.0657
EURGBP,HANGSENG,-0.0652,0.0652
EURUSD,COPPER,0.0652,0.0652
G_GILT,FTSE100,-0.0649,0.0649
EURGBP,DAX,-0.0649,0.0649
PLATINUM,USDNOK,-0.0648,0.0648
USDJPY,ASX200,0.0647,0.0647
AUDUSD,GOLD,0.0646,0.0646
GOLD,USDCHF,-0.0643,0.0643
NZDUSD,SILVER,0.0642,0.0642
OAT_FRANCE,USDJPY,-0.0638,0.0638
G_GILT,COPPER,-0.0637,0.0637
RX_BUND,VIX,0.0637,0.0637
NAT_GAS,RUSSELL2000,0.0637,0.0637
GBPJPY,FTSE100,0.0626,0.0626
OAT_FRANCE,FTSE100,-0.0625,0.0625
G_GILT,PLATINUM,0.0623,0.0623
G_GILT,EURGBP,-0.0618,0.0618
GOLD,USDCAD,-0.0616,0.0616
EURGBP,CAC40,-0.0607,0.0607
TY_US10Y,COPPER,-0.0597,0.0597
NAT_GAS,NASDAQ100,0.0596,0.0596
OAT_FRANCE,NASDAQ100,0.0585,0.0585
G_GILT,VIX,0.0582,0.0582
G_GILT,GBPUSD,0.0582,0.0582
LEAD,EURGBP,-0.0579,0.0579
EURGBP,EUROSTOXX50,-0.0578,0.0578
G_GILT,NZDUSD,0.0577,0.0577
EURUSD,GOLD,0.0574,0.0574
RX_BUND,NIKKEI225,-0.0574,0.0574
GOLD,NZDUSD,0.0569,0.0569
ZINC,EURUSD,0.0567,0.0567
GBPUSD,DAX,0.0553,0.0553
USDCHF,FTSE100,0.0553,0.0553
ZINC,USDCHF,-0.055,0.055
EURJPY,FTSE100,0.0548,0.0548
AUDJPY,SILVER,0.0543,0.0543
RX_BUND,PLATINUM,0.0539,0.0539
GOLD,USDJPY,-0.0535,0.0535
GBPUSD,COPPER,0.0533,0.0533
ZINC,GBPJPY,0.0532,0.0532
GOLD,CAC40,-0.053,0.053
RX_BUND,EURJPY,-0.0523,0.0523
COPPER,USDCHF,-0.0521,0.0521
USDCHF,CAC40,0.0518,0.0518
G_GILT,AUDUSD,0.0518,0.0518
G_GILT,EURUSD,0.0505,0.0505
G_GILT,HANGSENG,-0.0504,0.0504
USDCHF,EUROSTOXX50,0.05,0.05
NAT_GAS,VIX,-0.0498,0.0498
RX_BUND,ZINC,-0.0497,0.0497
OAT_FRANCE,NIKKEI225,-0.0495,0.0495
WTI_CRUDE,USDCAD,-0.0494,0.0494
NZDUSD,DOWJONES,0.048,0.048
OAT_FRANCE,RUSSELL2000,0.0474,0.0474
G_GILT,DOWJONES,-0.0471,0.0471
GOLD,RUSSELL2000,0.0471,0.0471
RX_BUND,EURGBP,-0.0469,0.0469
WTI_CRUDE,USDNOK,0.0466,0.0466
LEAD,EURJPY,0.0465,0.0465
USDCHF,DAX,0.0464,0.0464
RX_BUND,USDCHF,-0.0461,0.0461
SILVER,USDCHF,-0.0458,0.0458
RX_BUND,GBPUSD,0.0458,0.0458
GBPUSD,PLATINUM,0.0456,0.0456
NAT_GAS,CAC40,0.0455,0.0455
EURCHF,DAX,0.0449,0.0449
OAT_FRANCE,NZDUSD,0.0448,0.0448
NAT_GAS,FTSE100,0.0447,0.0447
AUDUSD,DOWJONES,0.0445,0.0445
EURJPY,COPPER,0.0441,0.0441
GOLD,HANGSENG,0.0441,0.0441
EURCHF,CAC40,0.0436,0.0436
EURCHF,EUROSTOXX50,0.0434,0.0434
EURCHF,FTSE100,0.0432,0.0432
EURUSD,PLATINUM,0.0431,0.0431
RX_BUND,AUDJPY,-0.0431,0.0431
USDCHF,ASX200,0.0423,0.0423
G_GILT,USDCHF,-0.0422,0.0422
GBPUSD,SILVER,0.0421,0.0421
USDCHF,HANGSENG,-0.0419,0.0419
OAT_FRANCE,GBPUSD,0.0418,0.0418
GBPUSD,EUROSTOXX50,0.041,0.041
RX_BUND,NZDUSD,0.0407,0.0407
GBPUSD,CAC40,0.0404,0.0404
TY_US10Y,ZINC,-0.0404,0.0404
OAT_FRANCE,EURJPY,-0.0398,0.0398
OAT_FRANCE,USDCHF,-0.0396,0.0396
GOLD,EUROSTOXX50,-0.0393,0.0393
RX_BUND,DOWJONES,-0.0392,0.0392
NAT_GAS,DAX,0.039,0.039
PLATINUM,USDSEK,-0.0387,0.0387
RX_BUND,USDSEK,-0.0384,0.0384
G_GILT,SP500,-0.0376,0.0376
G_GILT,ZINC,-0.0374,0.0374
G_GILT,USDNOK,-0.0372,0.0372
EURJPY,NAT_GAS,0.0371,0.0371
OAT_FRANCE,USDSEK,-0.0371,0.0371
NZDUSD,SP500,0.0369,0.0369
GBPJPY,COPPER,0.0366,0.0366
RX_BUND,USDNOK,-0.0365,0.0365
ZINC,EURGBP,-0.036,0.036
GOLD,NASDAQ100,0.0358,0.0358
NAT_GAS,EUROSTOXX50,0.0357,0.0357
G_GILT,NIKKEI225,-0.0357,0.0357
RX_BUND,LEAD,-0.0356,0.0356
AUDJPY,BRENT_CRUDE,0.0355,0.0355
GBPUSD,GOLD,0.0347,0.0347
OAT_FRANCE,USDNOK,-0.0343,0.0343
OAT_FRANCE,SP500,0.0342,0.0342
AUDUSD,BRENT_CRUDE,0.0339,0.0339
OAT_FRANCE,EURGBP,-0.0332,0.0332
NZDUSD,RUSSELL2000,0.0332,0.0332
GOLD,SP500,0.0329,0.0329
G_GILT,LEAD,-0.0326,0.0326
SILVER,USDSEK,-0.0324,0.0324
AUDUSD,RUSSELL2000,0.0321,0.0321
GOLD,ASX200,0.0318,0.0318
AUDJPY,NAT_GAS,0.0315,0.0315
OAT_FRANCE,EURUSD,0.0315,0.0315
AUDJPY,DOWJONES,0.0314,0.0314
EURUSD,SILVER,0.0304,0.0304
OAT_FRANCE,AUDJPY,-0.0302,0.0302
GOLD,VIX,0.0297,0.0297
NAT_GAS,USDJPY,0.0295,0.0295
GOLD,USDSEK,-0.0295,0.0295
OAT_FRANCE,EUROSTOXX50,-0.0293,0.0293
OAT_FRANCE,ZINC,-0.0293,0.0293
WTI_CRUDE,USDSEK,0.0287,0.0287
GOLD,DAX,-0.0287,0.0287
ZINC,EURJPY,0.0284,0.0284
GBPJPY,NAT_GAS,0.0284,0.0284
G_GILT,EURJPY,-0.0281,0.0281
RX_BUND,EURCHF,-0.0281,0.0281
G_GILT,RUSSELL2000,-0.028,0.028
NAT_GAS,HANGSENG,0.0279,0.0279
GOLD,USDNOK,0.0278,0.0278
TY_US10Y,USDJPY,-0.0274,0.0274
EURUSD,ASX200,0.0274,0.0274
AUDUSD,SP500,0.0269,0.0269
RX_BUND,EURUSD,0.0264,0.0264
OAT_FRANCE,CAC40,-0.026,0.026
EURUSD,DOWJONES,0.0259,0.0259
PLATINUM,USDCHF,-0.0257,0.0257
EURGBP,SILVER,-0.0256,0.0256
OAT_FRANCE,AUDUSD,0.0253,0.0253
USDSEK,DAX,-0.0252,0.0252
EURUSD,RUSSELL2000,0.0251,0.0251
WTI_CRUDE,EURUSD,-0.0245,0.0245
USDNOK,NASDAQ100,0.0243,0.0243
BRENT_CRUDE,EURUSD,-0.0239,0.0239
PLATINUM,USDJPY,-0.0239,0.0239
EURUSD,FTSE100,-0.0238,0.0238
TY_US10Y,LEAD,-0.0235,0.0235
BRENT_CRUDE,USDCHF,0.0232,0.0232
RX_BUND,SP500,-0.0232,0.0232
EURCHF,SILVER,-0.0229,0.0229
USDSEK,NASDAQ100,0.0229,0.0229
WTI_CRUDE,EURJPY,-0.0226,0.0226
USDCHF,VIX,-0.0225,0.0225
ZINC,USDJPY,-0.0225,0.0225
EURCHF,VIX,-0.0221,0.0221
WTI_CRUDE,EURCHF,-0.0219,0.0219
RX_BUND,GBPJPY,-0.0217,0.0217
GOLD,DOWJONES,0.0214,0.0214
GBPJPY,SILVER,0.0213,0.0213
AUDJPY,RUSSELL2000,0.0211,0.0211
GBPUSD,DOWJONES,0.0206,0.0206
GBPUSD,RUSSELL2000,0.0202,0.0202
BRENT_CRUDE,EURGBP,-0.0202,0.0202
NAT_GAS,ASX200,0.0201,0.0201
OAT_FRANCE,DAX,-0.02,0.02
EURGBP,PLATINUM,-0.0199,0.0199
GBPJPY,PLATINUM,0.0199,0.0199
RX_BUND,AUDUSD,0.0194,0.0194
G_GILT,USDCAD,-0.0193,0.0193
TY_US10Y,AUDJPY,-0.0192,0.0192
EURUSD,SP500,0.019,0.019
USDCAD,DOWJONES,-0.019,0.019
NAT_GAS,USDCAD,-0.0189,0.0189
TY_US10Y,USDSEK,-0.0188,0.0188
WTI_CRUDE,GBPUSD,-0.0186,0.0186
GBPUSD,SP500,0.0186,0.0186
G_GILT,ASX200,0.0185,0.0185
RX_BUND,NAT_GAS,-0.0183,0.0183
TY_US10Y,USDNOK,0.0181,0.0181
RX_BUND,RUSSELL2000,-0.0179,0.0179
AUDUSD,WTI_CRUDE,0.0177,0.0177
EURUSD,CAC40,-0.0177,0.0177
AUDJPY,SP500,0.0176,0.0176
OAT_FRANCE,GBPJPY,-0.0176,0.0176
EURGBP,FTSE100,-0.0174,0.0174
NAT_GAS,USDSEK,-0.0172,0.0172
WTI_CRUDE,GBPJPY,-0.0171,0.0171
EURCHF,GOLD,-0.0169,0.0169
SILVER,USDJPY,-0.0169,0.0169
USDSEK,RUSSELL2000,0.0168,0.0168
TY_US10Y,EURJPY,-0.0167,0.0167
OAT_FRANCE,LEAD,-0.0165,0.0165
LEAD,EURCHF,-0.0163,0.0163
EURCHF,DOWJONES,0.0162,0.0162
USDCAD,RUSSELL2000,-0.0161,0.0161
TY_US10Y,USDCHF,-0.0161,0.0161
USDSEK,CAC40,-0.0159,0.0159
TY_US10Y,NAT_GAS,-0.0157,0.0157
OAT_FRANCE,DOWJONES,0.0156,0.0156
USDJPY,HANGSENG,0.0155,0.0155
USDSEK,EUROSTOXX50,-0.0155,0.0155
OAT_FRANCE,EURCHF,-0.0154,0.0154
USDCAD,NASDAQ100,0.0153,0.0153
OAT_FRANCE,ASX200,-0.0152,0.0152
EURUSD,EUROSTOXX50,-0.0151,0.0151
AUDJPY,GOLD,0.0148,0.0148
LEAD,USDJPY,-0.0148,0.0148
GBPJPY,GOLD,-0.0145,0.0145
USDSEK,FTSE100,-0.0145,0.0145
AUDJPY,WTI_CRUDE,0.0145,0.0145
AUDJPY,VIX,-0.0142,0.0142
GBPJPY,VIX,-0.0142,0.0142
TY_US10Y,GBPJPY,-0.0142,0.0142
USDJPY,NASDAQ100,-0.0141,0.0141
NAT_GAS,USDNOK,-0.0139,0.0139
TY_US10Y,EURUSD,0.0137,0.0137
BRENT_CRUDE,NZDUSD,0.0137,0.0137
G_GILT,NASDAQ100,-0.013,0.013
EURUSD,NASDAQ100,0.013,0.013
BRENT_CRUDE,EURJPY,-0.013,0.013
NAT_GAS,NZDUSD,0.0125,0.0125
USDJPY,RUSSELL2000,-0.0124,0.0124
OAT_FRANCE,NAT_GAS,-0.0122,0.0122
GOLD,NIKKEI225,-0.0121,0.0121
EURGBP,VIX,0.012,0.012
AUDUSD,NAT_GAS,0.0119,0.0119
G_GILT,AUDJPY,-0.0119,0.0119
USDJPY,DOWJONES,-0.0118,0.0118
USDNOK,DOWJONES,-0.0118,0.0118
EURJPY,PLATINUM,0.0117,0.0117
EURCHF,PLATINUM,0.0113,0.0113
USDCHF,RUSSELL2000,-0.0112,0.0112
AUDJPY,NASDAQ100,-0.0111,0.0111
USDSEK,SP500,0.011,0.011
TY_US10Y,GBPUSD,0.0104,0.0104
USDJPY,SP500,-0.0101,0.0101
EURUSD,NAT_GAS,0.0101,0.0101
USDNOK,RUSSELL2000,0.0101,0.0101
COPPER,USDJPY,-0.0101,0.0101
USDNOK,SP500,-0.0097,0.0097
EURCHF,RUSSELL2000,0.0097,0.0097
G_GILT,GBPJPY,-0.0096,0.0096
EURGBP,NAT_GAS,-0.0095,0.0095
EURUSD,DAX,-0.0095,0.0095
TY_US10Y,EURGBP,-0.0093,0.0093
EURCHF,SP500,0.0093,0.0093
GBPJPY,DOWJONES,0.0087,0.0087
NZDUSD,NASDAQ100,0.0086,0.0086
G_GILT,NAT_GAS,-0.0086,0.0086
GBPJPY,SP500,0.0085,0.0085
NZDUSD,VIX,-0.0082,0.0082
GBPUSD,VIX,-0.0081,0.0081
EURJPY,DOWJONES,0.0081,0.0081
BRENT_CRUDE,USDNOK,-0.008,0.008
AUDUSD,VIX,-0.008,0.008
USDCAD,SP500,-0.0079,0.0079
USDSEK,VIX,-0.0078,0.0078
GBPJPY,RUSSELL2000,0.0077,0.0077
BRENT_CRUDE,USDSEK,0.0077,0.0077
ZINC,EURCHF,-0.0076,0.0076
OAT_FRANCE,VIX,-0.0076,0.0076
EURGBP,NASDAQ100,0.0074,0.0074
USDJPY,VIX,-0.0071,0.0071
GBPJPY,NASDAQ100,-0.0069,0.0069
EURJPY,SILVER,0.0067,0.0067
EURJPY,RUSSELL2000,0.0066,0.0066
USDSEK,DOWJONES,0.0065,0.0065
BRENT_CRUDE,USDJPY,0.0064,0.0064
EURCHF,NAT_GAS,0.0062,0.0062
EURJPY,NASDAQ100,-0.0058,0.0058
TY_US10Y,AUDUSD,0.0058,0.0058
USDCHF,SP500,-0.0056,0.0056
USDCHF,DOWJONES,-0.0056,0.0056
SILVER,USDNOK,-0.0056,0.0056
TY_US10Y,EURCHF,-0.0052,0.0052
GBPUSD,NAT_GAS,0.0052,0.0052
BRENT_CRUDE,GBPJPY,0.005,0.005
USDCHF,NASDAQ100,-0.0049,0.0049
EURGBP,COPPER,0.0048,0.0048
EURCHF,NASDAQ100,0.0047,0.0047
TY_US10Y,USDCAD,0.0044,0.0044
GBPUSD,NASDAQ100,0.0043,0.0043
RX_BUND,NASDAQ100,0.0042,0.0042
EURJPY,GOLD,-0.0041,0.0041
USDNOK,VIX,-0.0038,0.0038
USDCAD,VIX,0.0038,0.0038
EURCHF,COPPER,0.0037,0.0037
RX_BUND,USDCAD,0.0037,0.0037
EURGBP,SP500,-0.0036,0.0036
GOLD,FTSE100,0.0036,0.0036
NAT_GAS,NIKKEI225,0.0034,0.0034
EURGBP,GOLD,-0.0034,0.0034
EURJPY,SP500,0.0032,0.0032
RX_BUND,ASX200,0.0032,0.0032
WTI_CRUDE,USDCHF,0.003,0.003
BRENT_CRUDE,EURCHF,0.0029,0.0029
EURUSD,VIX,0.0026,0.0026
NAT_GAS,USDCHF,-0.0026,0.0026
EURGBP,RUSSELL2000,-0.0025,0.0025
EURJPY,VIX,0.0025,0.0025
WTI_CRUDE,USDJPY,-0.0022,0.0022
WTI_CRUDE,EURGBP,-0.0021,0.0021
AUDUSD,NASDAQ100,-0.0018,0.0018
EURGBP,DOWJONES,-0.0015,0.0015
WTI_CRUDE,NZDUSD,-0.0015,0.0015
G_GILT,EURCHF,-0.0012,0.0012
OAT_FRANCE,USDCAD,0.0007,0.0007
GBPUSD,FTSE100,-0.0006,0.0006
BRENT_CRUDE,GBPUSD,-0.0003,0.0003
EURUSD,NIKKEI225,0.0,0.0
TY_US10Y,NZDUSD,0.0,0.0
